(same data, 10 average, n = amount of items)
n	bubblesort[s]	insertionsort	selectionsort
2000	0.012850	0.002587	0.004443
6000	0.138834	0.021490	0.039511
10000	0.408723	0.061957	0.107507
14000	0.816344	0.121771	0.209106
18000	1.386119	0.198774	0.347117
22000	2.042468	0.298779	0.522044
26000	2.878266	0.410283	0.728634
30000	3.894608	0.552808	0.957111
34000	4.984366	0.703060	1.245705
38000	6.263917	0.893378	1.529671
42000	7.752742	1.086861	1.855292
46000	9.333595	1.284213	2.223768
50000	10.971553	1.500327	2.633364
54000	12.890989	1.786283	3.085890
58000	14.860329	2.051469	3.568410
