(random, 10 average, n = amount of items)
n	Insertion[s]	Selectionsort	Heapsort	Mergesort
4000	0.010238	0.017616	0.000781	0.000539
8000	0.041352	0.070549	0.001791	0.001154
12000	0.090045	0.160819	0.003117	0.001902
16000	0.160426	0.284113	0.004136	0.002528
20000	0.254444	0.437369	0.005243	0.003262
24000	0.362123	0.629609	0.006497	0.004058
28000	0.495063	0.864498	0.007683	0.004666
32000	0.664726	1.097523	0.009150	0.005414
36000	0.820990	1.391750	0.009983	0.006122
40000	0.996076	1.725184	0.010624	0.006852
44000	1.158413	2.071197	0.011928	0.007930
48000	1.423841	2.456632	0.013305	0.008507
52000	1.636673	2.898076	0.015262	0.009279
56000	1.919044	3.327372	0.016088	0.010195
60000	2.190572	3.798412	0.018106	0.010899

(ascending, 10 average)

n	Insertion[s]	Selectionsort	Heapsort	Mergesort
4000	0.010134	0.018168	0.000689	0.000278
8000	0.041937	0.069654	0.001572	0.000621
12000	0.095227	0.157906	0.002606	0.000990
16000	0.163773	0.279493	0.003247	0.001404
20000	0.256376	0.432172	0.003971	0.001785
24000	0.369762	0.640384	0.005167	0.002071
28000	0.514584	0.865329	0.005843	0.002643
32000	0.660859	1.145895	0.006727	0.002752
36000	0.843968	1.417460	0.008002	0.003250
40000	1.035951	1.707100	0.008542	0.003763
44000	1.249464	2.049009	0.009395	0.004151
48000	1.481695	2.466106	0.010666	0.004635
52000	1.715440	2.867813	0.011688	0.004995
56000	1.953053	3.325054	0.012288	0.005383
60000	2.196424	3.855383	0.013495	0.005530

(descending, 10 average)

n	Insertion[s]	Selectionsort	Heapsort	Mergesort
4000	0.010086	0.016389	0.000696	0.000280
8000	0.039149	0.066889	0.001738	0.000614
12000	0.090072	0.148296	0.002324	0.000931
16000	0.157816	0.262419	0.003237	0.001221
20000	0.249388	0.408919	0.004196	0.001671
24000	0.366943	0.604229	0.005047	0.001926
28000	0.498718	0.820718	0.005827	0.002303
32000	0.640636	1.070566	0.006618	0.002640
36000	0.810497	1.335712	0.007707	0.002907
40000	1.000398	1.676877	0.008826	0.003408
44000	1.185247	1.995102	0.010131	0.003749
48000	1.413939	2.372904	0.011055	0.004159
52000	1.642814	2.754010	0.011599	0.004355
56000	1.908560	3.196712	0.012808	0.004864
60000	2.101638	3.662244	0.014367	0.005129

(stała?, 10 average)

n	Insertion[s]	Selectionsort	Heapsort	Mergesort
4000	0.000021	0.016758	0.000062	0.000271
8000	0.000038	0.064983	0.000123	0.000575
12000	0.000055	0.147793	0.000195	0.000911
16000	0.000082	0.262676	0.000266	0.001218
20000	0.000100	0.409321	0.000321	0.001573
24000	0.000114	0.597973	0.000402	0.002032
28000	0.000133	0.802005	0.000442	0.002211
32000	0.000162	1.061086	0.000495	0.002636
36000	0.000166	1.343829	0.000554	0.002966
40000	0.000189	1.651483	0.000619	0.003300
44000	0.000205	1.992218	0.000679	0.003657
48000	0.000227	2.356027	0.000750	0.004100
52000	0.000242	2.747065	0.000822	0.004527
56000	0.000268	3.203365	0.000862	0.004874
60000	0.000284	3.658025	0.000926	0.005029

(V shaped)

n	Insertion[s]	Selectionsort	Heapsort	Mergesort
4000	0.009464	0.016341	0.000751	0.000293
8000	0.038467	0.065840	0.001493	0.000633
12000	0.085738	0.145831	0.002401	0.000991
16000	0.150754	0.261421	0.003269	0.001286
20000	0.234571	0.404400	0.004120	0.001694
24000	0.337001	0.595078	0.005017	0.002021
28000	0.473428	0.814376	0.006106	0.002448
32000	0.606370	1.052948	0.006836	0.002894
36000	0.763203	1.335508	0.007822	0.003156
40000	0.913365	1.635609	0.008673	0.003608
44000	1.127617	1.970921	0.009586	0.003956
48000	1.331111	2.349043	0.010555	0.004433
52000	1.630915	2.731759	0.011452	0.004722
56000	1.828889	3.160660	0.012600	0.005204
60000	2.043238	3.620547	0.013621	0.005547












