vertices,euler_sparse_time,hamilton_sparse_time,euler_dense_time,hamilton_dense_time
4,0.000003,0.000002,0.000001,0.000011
8,0.000005,0.000001,0.000003,0.000002
12,0.000004,0.000005,0.000005,0.000003
16,0.000006,0.000008,0.000009,0.000005
20,0.000010,0.621120,0.000021,0.000008
24,0.000013,12.272651,0.000033,0.000101
28,0.000047,17.549362,0.000050,0.000013
32,0.000027,1.298243,0.000062,0.000016
36,0.000055,0.000651,0.000073,0.000054
40,0.000050,0.024192,0.000121,0.000029
44,0.000079,0.000056,0.000133,0.000031
48,0.000125,7.920654,0.000153,0.000064
52,0.000137,0.000031,0.000184,0.000048
56,0.000126,0.112015,0.000230,0.000054
60,0.000149,47.559602,0.000271,0.000063
