(same data, 10 average, n = amount of items)
n	heapsort[s]	mergesort[s]	quicksort[s]
2000	0.000347	0.000225	0.000203
6000	0.001223	0.000989	0.000729
10000	0.002483	0.001547	0.001262
14000	0.003408	0.002063	0.001756
18000	0.004417	0.003104	0.002409
22000	0.006142	0.003413	0.002941
26000	0.007045	0.004059	0.003333
30000	0.007844	0.004781	0.003980
34000	0.008908	0.005351	0.004399
38000	0.010478	0.006052	0.005067
42000	0.011300	0.006875	0.005755
46000	0.012992	0.007531	0.006157
50000	0.014454	0.008363	0.006774
54000	0.015938	0.009296	0.007476
58000	0.016135	0.009714	0.008116
