(A_shaped, 1000 average, n = amount of items)
n	quick-middle[s]	quick-right[s]	quick-random[s]
4000	0.000501	0.000492	0.000367
8000	0.001511	0.001060	0.000758
12000	0.002284	0.001661	0.001303
16000	0.003247	0.002252	0.001613
20000	0.004591	0.003015	0.002004
24000	0.004209	0.003645	0.002410
28000	0.006450	0.004443	0.002850
32000	0.007491	0.004899	0.003253
36000	0.010162	0.005746	0.003687
40000	0.009705	0.006842	0.004152
44000	0.007746	0.007208	0.004674
48000	0.009188	0.007415	0.005005
52000	0.014485	0.008394	0.005400
56000	0.015335	0.009390	0.006143
60000	0.015335	0.009605	0.006198
